B,G,R,Results,Tests
88,142,227,5,pH
73,160,234,6,pH
65,162,188,6.5,pH
57,165,146,7,pH
41,141,89,7.5,pH
68,124,23,8,pH
106,96,9,8.5,pH
118,182,240,Default,pH
