B,G,R,Results,Tests
59,54,0,1000,S.G
57,71,23,1005,S.G
56,91,64,1010,S.G
46,124,93,1015,S.G
81,96,12,1020,S.G
42,154,177,1025,S.G
25,160,216,1030,S.G
62,178,211,Default,S.G
