B,G,R,Results,Tests
177,192,231,neg,Ketones
160,161,217,5(0.5),Ketones
149,135,189,1.5(1.5),Ketones
104,67,135,4.0(3.9),Ketones
80,25,110,80(8),Ketones
59,19,85,160(16),Ketones
160,195,228,Default,Ketones
