B,G,R,Results,Tests
125,171,235,0.1(Normal),Urobilinogen
148,160,232,1(16) Normal,Urobilinogen
144,144,228,2(33),Urobilinogen
117,119,227,4(66),Urobilinogen
114,94,223,8(131),Urobilinogen
167,214,242,Default,Urobilinogen
