B,G,R,Results,Tests
171,179,65,neg,Glucose
132,173,88,100(0.5),Glucose
109,172,163,250(1.4),Glucose
54,120,115,500(28),Glucose
35,63,98,1000(55),Glucose
31,38,81,2000(111),Glucose
178,194,111,Default,Glucose
