B,G,R,Results,Tests
185,211,235,neg,Leukocytes
160,185,227,trace,Leukocytes
196,180,221,70,Leukocytes
178,145,189,125,Leukocytes
153,109,150,500,Leukocytes
209,235,247,Default,Leukocytes
